Date,Open,High,Low,Close,Adj Close,Volume
1990-01-01,197.279999,200.869995,178.149994,182.509995,182.509995,0
1990-02-01,182.509995,186.869995,179.979996,184.839996,184.839996,0
1990-03-01,184.850006,191.490005,184.460007,189.130005,189.130005,0
1990-04-01,189.139999,192.619995,182.279999,183.759995,183.759995,0
1990-05-01,183.759995,200.389999,183.759995,199.839996,199.839996,0
1990-06-01,199.839996,203.960007,195.020004,198.520004,198.520004,0
1990-07-01,198.520004,204.240005,193.699997,196.000000,196.000000,0
1990-08-01,196.009995,196.529999,167.880005,176.820007,176.820007,0
1990-09-01,176.820007,178.979996,161.889999,167.029999,167.029999,0
1990-10-01,167.110001,174.360001,160.660004,165.289993,165.289993,0
1990-11-01,165.289993,176.169998,164.199997,175.970001,175.970001,0
1990-12-01,175.970001,182.830002,175.970001,180.860001,180.860001,0
1991-01-01,180.860001,189.479996,169.820007,189.479996,189.479996,0
1991-02-01,189.479996,204.539993,188.000000,202.940002,202.940002,0
1991-03-01,202.940002,210.169998,201.350006,208.529999,208.529999,0
1991-04-01,208.529999,217.320007,206.130005,208.309998,208.309998,0
1991-05-01,208.309998,216.229996,203.500000,216.229996,216.229996,0
1991-06-01,216.229996,216.229996,204.289993,205.919998,205.919998,0
1991-07-01,205.919998,215.190002,205.839996,215.179993,215.179993,0
1991-08-01,215.190002,220.770004,207.990005,220.160004,220.160004,0
1991-09-01,220.160004,221.050003,213.679993,217.080002,217.080002,0
1991-10-01,217.070007,220.520004,210.860001,220.369995,220.369995,0
1991-11-01,220.369995,223.869995,209.360001,211.240005,211.240005,0
1991-12-01,211.229996,234.779999,209.169998,234.360001,234.360001,0
1992-01-01,234.360001,238.470001,231.089996,232.419998,232.419998,0
1992-02-01,232.410004,237.990005,231.539993,234.820007,234.820007,0
1992-03-01,234.820007,235.500000,228.240005,229.080002,229.080002,0
1992-04-01,229.080002,234.580002,221.639999,233.350006,233.350006,0
1992-05-01,233.350006,235.770004,230.960007,234.080002,234.080002,0
1992-06-01,234.080002,235.149994,224.389999,229.240005,229.240005,0
1992-07-01,229.240005,238.639999,228.639999,238.429993,238.429993,0
1992-08-01,238.429993,239.130005,229.179993,232.460007,232.460007,0
1992-09-01,232.470001,239.360001,232.190002,235.080002,235.080002,0
1992-10-01,235.080002,238.130005,223.509995,237.080002,237.080002,0
1992-11-01,237.080002,246.160004,235.889999,246.070007,246.070007,0
1992-12-01,246.070007,252.149994,244.020004,249.800003,249.800003,0
1993-01-01,249.789993,254.479996,244.860001,252.050003,252.050003,0
1993-02-01,252.050003,258.350006,244.960007,252.960007,252.960007,0
1993-03-01,252.960007,260.940002,252.050003,258.630005,258.630005,0
1993-04-01,258.630005,259.000000,247.029999,251.479996,251.479996,0
1993-05-01,251.490005,260.119995,250.360001,257.910004,257.910004,0
1993-06-01,257.910004,260.579987,253.630005,258.970001,258.970001,0
1993-07-01,258.970001,260.079987,254.770004,258.290009,258.290009,0
1993-08-01,258.760010,267.459991,258.339996,267.459991,267.459991,0
1993-09-01,267.459991,268.339996,260.609985,266.890015,266.890015,0
1993-10-01,266.890015,273.029999,265.089996,270.450012,270.450012,0
1993-11-01,270.450012,271.209991,261.630005,265.420013,265.420013,0
1993-12-01,265.420013,271.679993,265.420013,270.130005,270.130005,0
1994-01-01,270.279999,278.690002,268.579987,278.109985,278.109985,0
1994-02-01,278.109985,278.489990,268.709991,270.630005,270.630005,0
1994-03-01,270.630005,273.869995,253.229996,258.149994,258.149994,0
1994-04-01,258.149994,261.609985,252.600006,260.809998,260.809998,0
1994-05-01,260.809998,263.429993,254.240005,262.809998,262.809998,0
1994-06-01,262.809998,266.529999,252.490005,255.080002,255.080002,0
1994-07-01,255.080002,263.070007,254.830002,262.570007,262.570007,0
1994-08-01,260.230011,274.160004,260.230011,273.269989,273.269989,0
1994-09-01,273.269989,273.269989,264.200012,266.809998,266.809998,0
1994-10-01,266.809998,271.799988,258.970001,270.690002,270.690002,0
1994-11-01,270.690002,270.690002,254.610001,260.059998,260.059998,0
1994-12-01,260.059998,264.369995,252.809998,263.440002,263.440002,0
1995-01-01,263.440002,269.799988,262.029999,268.730011,268.730011,0
1995-02-01,268.730011,279.429993,268.480011,279.029999,279.029999,0
1995-03-01,279.029999,289.000000,274.429993,285.299988,285.299988,0
1995-04-01,285.320007,292.579987,284.940002,292.359985,292.359985,0
1995-05-01,292.399994,302.149994,291.350006,302.149994,302.149994,0
1995-06-01,302.149994,313.750000,299.609985,310.179993,310.179993,0
1995-07-01,310.179993,323.640015,309.480011,322.250000,322.250000,0
1995-08-01,322.260010,324.519989,317.380005,324.239990,324.239990,0
1995-09-01,324.239990,338.250000,323.750000,336.250000,336.250000,0
1995-10-01,336.250000,338.890015,326.320007,332.839996,332.839996,0
1995-11-01,332.839996,347.929993,332.679993,346.720001,346.720001,0
1995-12-01,346.720001,354.559998,343.600006,351.910004,351.910004,0
1996-01-01,351.910004,361.589996,339.609985,361.559998,361.559998,0
1996-02-01,361.559998,376.750000,360.739990,366.079987,366.079987,0
1996-03-01,366.079987,374.119995,358.519989,369.079987,369.079987,0
1996-04-01,369.079987,376.609985,357.850006,375.660004,375.660004,0
1996-05-01,375.660004,390.579987,362.660004,384.390015,384.390015,0
1996-06-01,384.390015,390.339996,376.179993,382.470001,382.470001,0
1996-07-01,382.470001,385.519989,342.899994,361.989990,361.989990,0
1996-08-01,361.989990,379.899994,359.019989,372.089996,372.089996,0
1996-09-01,372.089996,393.149994,367.480011,391.720001,391.720001,0
1996-10-01,391.720001,404.119995,390.070007,398.320007,398.320007,0
1996-11-01,398.320007,427.579987,396.640015,425.420013,425.420013,0
1996-12-01,425.420013,428.750000,404.850006,419.440002,419.440002,0
1997-01-01,419.440002,447.790009,412.880005,442.279999,442.279999,0
1997-02-01,442.279999,456.950012,435.019989,441.809998,441.809998,0
1997-03-01,441.809998,454.549988,421.100006,421.320007,421.320007,0
1997-04-01,421.320007,442.529999,409.660004,441.429993,441.429993,0
1997-05-01,441.429993,472.010010,438.190002,470.660004,470.660004,0
1997-06-01,470.660004,498.190002,466.459991,489.619995,489.619995,0
1997-07-01,489.619995,528.489990,489.459991,527.010010,527.010010,0
1997-08-01,527.010010,533.400024,498.420013,504.739990,504.739990,0
1997-09-01,504.739990,538.409973,504.739990,532.729980,532.729980,0
1997-10-01,534.739990,551.340027,481.279999,514.070007,514.070007,0
1997-11-01,514.070007,538.130005,504.760010,533.080017,533.080017,0
1997-12-01,533.080017,549.840027,516.750000,543.049988,543.049988,0
1998-01-01,543.049988,551.080017,494.339996,545.270020,545.270020,0
1998-02-01,545.270020,584.760010,545.270020,583.580017,583.580017,0
1998-03-01,583.580017,616.859985,573.830017,611.760010,611.760010,0
1998-04-01,611.760010,628.460022,596.880005,616.940002,616.940002,0
1998-05-01,616.940002,626.409973,591.489990,601.059998,601.059998,0
1998-06-01,601.010010,625.460022,589.840027,620.619995,620.619995,0
1998-07-01,620.619995,649.200012,606.260010,608.820007,608.820007,0
1998-08-01,608.820007,608.820007,514.659973,514.669983,514.669983,0
1998-09-01,514.669983,573.590027,505.529999,548.729980,548.729980,0
1998-10-01,548.729980,592.409973,491.429993,590.080017,590.080017,0
1998-11-01,590.080017,640.250000,590.080017,625.520020,625.520020,0
1998-12-01,625.520020,667.130005,610.659973,664.270020,664.270020,0
1999-01-01,664.270020,689.150024,652.179993,686.630005,686.630005,0
1999-02-01,686.630005,688.969971,649.729980,661.429993,661.429993,0
1999-03-01,661.429993,702.020020,651.219971,684.780029,684.780029,0
1999-04-01,684.780029,732.669983,682.729980,715.489990,715.489990,0
1999-05-01,715.489990,739.140015,687.719971,700.770020,700.770020,0
1999-06-01,700.770020,736.739990,687.890015,735.989990,735.989990,0
1999-07-01,735.979980,759.780029,712.049988,712.369995,712.369995,0
1999-08-01,712.369995,734.429993,675.669983,703.479980,703.479980,0
1999-09-01,703.479980,725.219971,670.609985,684.799988,684.799988,0
1999-10-01,684.799988,731.250000,658.820007,726.500000,726.500000,0
1999-11-01,726.500000,764.669983,719.869995,746.119995,746.119995,0
1999-12-01,746.119995,794.380005,745.260010,793.309998,793.309998,0
2000-01-01,793.309998,799.559998,738.549988,761.729980,761.729980,0
2000-02-01,761.729980,793.619995,738.950012,767.719971,767.719971,0
2000-03-01,767.719971,858.479980,758.229980,826.030029,826.030029,0
2000-04-01,826.020020,838.229980,728.190002,797.059998,797.059998,0
2000-05-01,797.059998,812.530029,737.780029,773.989990,773.989990,0
2000-06-01,773.989990,817.299988,773.989990,796.440002,796.440002,0
2000-07-01,796.440002,834.599976,769.880005,781.090027,781.090027,0
2000-08-01,781.090027,842.289978,774.210022,838.609985,838.609985,0
2000-09-01,838.650024,845.690002,784.729980,799.679993,799.679993,0
2000-10-01,799.669983,804.549988,718.190002,788.020020,788.020020,0
2000-11-01,788.020020,796.650024,703.789978,714.469971,714.469971,0
2000-12-01,714.469971,765.960022,684.840027,725.750000,725.750000,0
2001-01-01,725.750000,759.820007,694.760010,749.979980,749.979980,0
2001-02-01,749.979980,754.330017,667.479980,680.520020,680.520020,0
2001-03-01,680.520020,696.450012,592.390015,635.669983,635.669983,0
2001-04-01,635.669983,696.400024,596.530029,686.119995,686.119995,0
2001-05-01,686.109985,724.940002,676.890015,690.630005,690.630005,0
2001-06-01,690.520020,709.429993,663.059998,677.030029,677.030029,0
2001-07-01,677.369995,683.770020,640.739990,665.489990,665.489990,0
2001-08-01,665.489990,674.489990,620.260010,625.260010,625.260010,0
2001-09-01,625.260010,636.690002,518.710022,569.530029,569.530029,0
2001-10-01,569.530029,608.739990,561.200012,582.219971,582.219971,0
2001-11-01,582.219971,638.770020,578.849976,626.150024,626.150024,0
2001-12-01,626.150024,646.270020,611.169983,634.159973,634.159973,0
2002-01-01,634.159973,650.619995,600.650024,625.599976,625.599976,0
2002-02-01,625.599976,625.599976,594.440002,611.890015,611.890015,0
2002-03-01,611.890015,650.940002,611.890015,638.150024,638.150024,0
2002-04-01,638.150024,638.590027,595.830017,604.130005,604.130005,0
2002-05-01,604.130005,618.200012,587.960022,596.289978,596.289978,0
2002-06-01,596.289978,598.190002,531.260010,552.650024,552.650024,0
2002-07-01,552.650024,554.190002,434.470001,508.119995,508.119995,0
2002-08-01,508.119995,536.500000,465.519989,509.649994,509.649994,0
2002-09-01,509.649994,514.080017,446.950012,455.410004,455.410004,0
2002-10-01,455.410004,501.670013,426.079987,490.950012,490.950012,0
2002-11-01,490.950012,522.859985,483.149994,519.710022,519.710022,0
2002-12-01,519.719971,529.380005,483.880005,489.489990,489.489990,0
2003-01-01,489.489990,519.070007,468.359985,476.910004,476.910004,0
2003-02-01,476.910004,481.339996,449.100006,468.149994,468.149994,0
2003-03-01,468.149994,497.160004,439.859985,472.390015,472.390015,0
2003-04-01,472.390015,513.729980,472.119995,510.329987,510.329987,0
2003-05-01,510.329987,540.640015,502.750000,540.219971,540.219971,0
2003-06-01,540.219971,568.229980,540.219971,546.739990,546.739990,0
2003-07-01,546.739990,571.630005,539.830017,558.520020,558.520020,0
2003-08-01,558.520020,571.059998,540.849976,570.020020,570.020020,0
2003-09-01,570.020020,588.539978,559.750000,563.059998,563.059998,0
2003-10-01,563.059998,598.200012,563.059998,596.280029,596.280029,0
2003-11-01,596.280029,605.630005,586.820007,603.539978,603.539978,0
2003-12-01,603.539978,631.659973,597.510010,630.130005,630.130005,0
2004-01-01,630.130005,657.239990,627.039978,642.609985,642.609985,0
2004-02-01,642.609985,658.020020,637.159973,650.239990,650.239990,0
2004-03-01,650.239990,661.719971,618.090027,641.679993,641.679993,0
2004-04-01,641.679993,655.659973,627.580017,627.710022,627.710022,0
2004-05-01,627.710022,639.729980,608.979980,635.840027,635.840027,0
2004-06-01,635.840027,649.500000,632.090027,647.539978,647.539978,0
2004-07-01,647.539978,647.539978,608.369995,622.330017,622.330017,0
2004-08-01,622.330017,626.880005,597.250000,623.859985,623.859985,0
2004-09-01,623.859985,641.390015,621.880005,632.530029,632.530029,0
2004-10-01,632.530029,648.419983,620.109985,642.150024,642.150024,0
2004-11-01,642.150024,677.559998,640.729980,670.840027,670.840027,0
2004-12-01,670.820007,696.880005,669.750000,693.630005,693.630005,0
2005-01-01,693.630005,696.659973,663.340027,674.539978,674.539978,6703400
2005-02-01,674.539978,692.880005,674.500000,688.049988,688.049988,15594800
2005-03-01,688.049988,702.590027,665.289978,675.450012,675.450012,3649900
2005-04-01,675.450012,681.729980,650.020020,660.020020,660.020020,3588700
2005-05-01,660.020020,687.590027,655.299988,683.869995,683.869995,3610500
2005-06-01,683.869995,702.109985,683.669983,687.609985,687.609985,3621500
2005-07-01,687.609985,720.719971,684.489990,715.020020,715.020020,2762900
2005-08-01,715.020020,721.809998,694.200012,706.840027,706.840027,0
2005-09-01,706.840027,719.969971,696.419983,712.210022,712.210022,0
2005-10-01,712.210022,715.299988,673.650024,698.140015,698.140015,0
2005-11-01,698.140015,735.539978,694.619995,723.619995,723.619995,0
2005-12-01,723.619995,739.099976,722.239990,723.309998,723.309998,0
2006-01-01,723.309998,751.719971,720.849976,746.770020,746.770020,0
2006-02-01,746.770020,756.520020,730.530029,746.570007,746.570007,0
2006-03-01,746.570007,765.909973,737.690002,758.450012,758.450012,0
2006-04-01,762.309998,771.590027,748.609985,765.809998,765.809998,0
2006-05-01,765.809998,776.130005,723.330017,739.780029,739.780029,0
2006-06-01,739.760010,753.039978,707.219971,740.140015,740.140015,0
2006-07-01,740.070007,745.919983,708.880005,738.690002,738.690002,0
2006-08-01,738.690002,756.539978,727.630005,755.090027,755.090027,0
2006-09-01,755.090027,774.530029,745.590027,771.070007,771.070007,0
2006-10-01,771.049988,804.840027,765.059998,798.049988,798.049988,0
2006-11-01,797.950012,817.909973,786.979980,813.570007,813.570007,0
2006-12-01,813.559998,830.419983,804.799988,822.130005,822.130005,0
2007-01-01,822.000000,838.969971,813.570007,836.960022,836.960022,0
2007-02-01,836.780029,853.979980,812.690002,821.510010,821.510010,0
2007-03-01,821.500000,839.270020,794.880005,829.049988,829.049988,0
2007-04-01,829.039978,872.059998,826.739990,861.380005,861.380005,0
2007-05-01,861.380005,893.609985,857.469971,890.950012,890.950012,0
2007-06-01,890.950012,897.000000,861.219971,873.190002,873.190002,0
2007-07-01,873.179993,903.669983,841.270020,843.890015,843.890015,0
2007-08-01,842.530029,869.239990,790.979980,852.979980,852.979980,0
2007-09-01,852.960022,889.700012,831.750000,882.789978,882.789978,0
2007-10-01,882.780029,914.299988,863.250000,898.070007,898.070007,0
2007-11-01,897.900024,897.900024,813.489990,855.849976,855.849976,0
2007-12-01,855.820007,881.580017,828.580017,849.219971,849.219971,0
2008-01-01,849.090027,851.140015,732.369995,796.830017,796.830017,0
2008-02-01,796.820007,808.450012,762.460022,770.450012,770.450012,0
2008-03-01,770.419983,784.679993,725.760010,764.630005,764.630005,0
2008-04-01,764.599976,812.719971,764.599976,802.020020,802.020020,0
2008-05-01,801.900024,836.409973,798.809998,816.809998,816.809998,0
2008-06-01,816.780029,821.190002,744.400024,748.099976,748.099976,0
2008-07-01,747.969971,754.690002,699.859985,741.119995,741.119995,0
2008-08-01,741.109985,766.820007,728.140015,751.130005,751.130005,0
2008-09-01,751.099976,762.539978,646.229980,678.500000,678.500000,0
2008-10-01,679.179993,679.179993,482.380005,557.840027,557.840027,0
2008-11-01,557.830017,578.419983,420.309998,512.229980,512.229980,0
2008-12-01,512.200012,527.330017,464.350006,520.599976,520.599976,0
2009-01-01,520.520020,544.020020,463.980011,476.260010,476.260010,0
2009-02-01,476.260010,505.459991,423.920013,424.880005,424.880005,0
2009-03-01,424.869995,482.029999,384.410004,461.140015,461.140015,0
2009-04-01,461.059998,518.710022,452.420013,508.910004,508.910004,0
2009-05-01,508.899994,541.169983,505.010010,534.750000,534.750000,0
2009-06-01,534.729980,557.510010,516.559998,535.619995,535.619995,0
2009-07-01,535.559998,582.070007,505.109985,576.559998,576.559998,0
2009-08-01,576.559998,607.619995,571.429993,595.859985,595.859985,0
2009-09-01,595.840027,634.090027,579.000000,619.869995,619.869995,0
2009-10-01,619.859985,645.099976,597.130005,603.260010,603.260010,0
2009-11-01,603.260010,649.039978,598.539978,636.039978,636.039978,0
2009-12-01,636.010010,662.700012,632.979980,653.130005,653.130005,0
2010-01-01,653.109985,674.400024,627.739990,628.989990,628.989990,0
2010-02-01,628.989990,653.760010,611.159973,648.900024,648.900024,0
2010-03-01,648.880005,696.099976,648.880005,688.739990,688.739990,0
2010-04-01,688.719971,723.599976,688.719971,702.940002,702.940002,0
2010-05-01,702.929993,714.070007,614.590027,646.039978,646.039978,0
2010-06-01,646.020020,669.119995,606.640015,607.919983,607.919983,0
2010-07-01,607.890015,662.219971,595.210022,649.390015,649.390015,0
2010-08-01,649.390015,665.200012,610.739990,617.479980,617.479980,0
2010-09-01,617.429993,683.820007,617.429993,674.750000,674.750000,0
2010-10-01,674.729980,707.580017,668.710022,700.369995,700.369995,0
2010-11-01,701.969971,727.309998,695.130005,702.919983,702.919983,0
2010-12-01,704.619995,752.710022,699.119995,749.479980,749.479980,0
2011-01-01,752.169983,775.210022,750.840027,765.140015,765.140015,0
2011-02-01,766.760010,802.260010,766.760010,791.440002,791.440002,0
2011-03-01,792.320007,796.039978,746.010010,793.849976,793.849976,0
2011-04-01,795.669983,817.349976,774.590027,816.659973,816.659973,0
2011-05-01,816.679993,820.700012,783.330017,805.739990,805.739990,0
2011-06-01,804.619995,804.619995,750.599976,790.000000,790.000000,0
2011-07-01,790.299988,812.869995,763.940002,771.109985,771.109985,0
2011-08-01,773.830017,780.400024,650.750000,723.150024,723.150024,0
2011-09-01,723.510010,729.330017,656.830017,665.969971,665.969971,0
2011-10-01,664.109985,767.969971,630.590027,741.659973,741.659973,0
2011-11-01,736.070007,756.070007,683.849976,737.780029,737.780029,0
2011-12-01,736.609985,750.099976,709.840027,742.580017,742.580017,0
2012-01-01,746.969971,791.080017,745.880005,779.219971,779.219971,0
2012-02-01,780.770020,818.640015,780.770020,810.359985,810.359985,0
2012-03-01,811.669983,841.510010,793.619995,834.080017,834.080017,0
2012-04-01,833.309998,842.479980,802.010010,827.679993,827.679993,0
2012-05-01,827.570007,838.349976,762.700012,774.609985,774.609985,0
2012-06-01,770.520020,803.739990,747.179993,803.630005,803.630005,0
2012-07-01,804.190002,818.500000,781.880005,810.650024,810.650024,0
2012-08-01,812.809998,840.400024,795.599976,828.859985,828.859985,0
2012-09-01,828.099976,871.250000,823.099976,849.280029,849.280029,0
2012-10-01,850.789978,867.059998,827.460022,833.609985,833.609985,0
2012-11-01,835.049988,847.260010,792.849976,837.830017,837.830017,0
2012-12-01,839.960022,857.349976,827.849976,846.369995,846.369995,0
2013-01-01,846.719971,898.010010,846.719971,891.789978,891.789978,0
2013-02-01,893.940002,912.359985,883.679993,901.619995,901.619995,0
2013-03-01,899.890015,936.210022,893.140015,935.520020,935.520020,0
2013-04-01,935.390015,949.830017,911.460022,949.830017,949.830017,0
2013-05-01,949.169983,1002.590027,938.940002,969.989990,969.989990,0
2013-06-01,970.929993,983.320007,926.619995,955.849976,955.849976,0
2013-07-01,959.159973,1014.580017,956.099976,1007.030029,1007.030029,0
2013-08-01,1010.119995,1022.039978,974.150024,976.830017,976.830017,0
2013-09-01,980.409973,1036.640015,976.549988,1011.549988,1011.549988,0
2013-10-01,1011.869995,1065.160034,988.359985,1053.300049,1053.300049,0
2013-11-01,1054.719971,1085.969971,1044.439941,1081.589966,1081.589966,0
2013-12-01,1082.250000,1122.030029,1060.260010,1108.290039,1108.290039,0
2014-01-01,1106.390015,1155.890015,1064.250000,1072.280029,1072.280029,0
2014-02-01,1072.410034,1126.160034,1043.069946,1120.660034,1120.660034,0
2014-03-01,1117.160034,1135.770020,1105.180054,1124.900024,1124.900024,0
2014-04-01,1129.680054,1139.699951,1085.170044,1125.079956,1125.079956,0
2014-05-01,1125.739990,1147.520020,1109.209961,1147.180054,1147.180054,0
2014-06-01,1148.180054,1177.709961,1141.949951,1174.069946,1174.069946,0
2014-07-01,1176.270020,1188.319946,1149.579956,1149.589966,1149.589966,0
2014-08-01,1148.140015,1195.959961,1135.640015,1195.420044,1195.420044,0
2014-09-01,1196.800049,1201.410034,1165.189941,1168.709961,1168.709961,0
2014-10-01,1167.729980,1199.630005,1079.869995,1199.569946,1199.569946,0
2014-11-01,1200.140015,1231.989990,1189.130005,1226.119995,1226.119995,0
2014-12-01,1223.770020,1243.599976,1170.640015,1224.109985,1224.109985,0
2015-01-01,1227.099976,1231.939941,1182.489990,1188.930054,1188.930054,0
2015-02-01,1191.300049,1264.069946,1179.880005,1255.069946,1255.069946,0
2015-03-01,1255.530029,1265.780029,1219.300049,1240.280029,1240.280029,0
2015-04-01,1239.180054,1272.609985,1228.579956,1244.719971,1244.719971,0
2015-05-01,1247.800049,1275.109985,1234.400024,1259.260010,1259.260010,0
2015-06-01,1262.680054,1275.890015,1231.770020,1236.119995,1236.119995,0
2015-07-01,1242.660034,1271.959961,1222.869995,1255.439941,1255.439941,0
2015-08-01,1256.170044,1261.089966,1115.819946,1177.130005,1177.130005,0
2015-09-01,1171.439941,1207.130005,1113.130005,1140.819946,1140.819946,0
2015-10-01,1141.050049,1237.819946,1125.040039,1229.520020,1229.520020,0
2015-11-01,1229.630005,1252.750000,1195.469971,1233.560059,1233.560059,0
2015-12-01,1234.300049,1246.619995,1176.069946,1206.099976,1206.099976,0
2016-01-01,1202.290039,1202.290039,1060.609985,1136.839966,1136.839966,0
2016-02-01,1135.040039,1149.079956,1056.449951,1133.560059,1133.560059,0
2016-03-01,1134.819946,1217.579956,1134.819946,1211.170044,1211.170044,0
2016-04-01,1210.550049,1242.699951,1194.589966,1217.369995,1217.369995,0
2016-05-01,1217.660034,1239.630005,1190.849976,1236.219971,1236.219971,0
2016-06-01,1235.930054,1252.979980,1172.359985,1236.619995,1236.619995,0
2016-07-01,1236.619995,1286.439941,1221.640015,1284.270020,1284.270020,0
2016-08-01,1284.479980,1297.260010,1267.640015,1284.479980,1284.479980,0
2016-09-01,1284.540039,1295.969971,1253.979980,1284.599976,1284.599976,0
2016-10-01,1283.579956,1284.890015,1250.959961,1255.420044,1255.420044,0
2016-11-01,1255.890015,1318.560059,1229.949951,1308.290039,1308.290039,0
2016-12-01,1308.680054,1354.410034,1300.660034,1331.719971,1331.719971,0
2017-01-01,1334.439941,1369.550049,1334.439941,1355.469971,1355.469971,0
2017-02-01,1357.680054,1409.319946,1351.000000,1402.829956,1402.829956,0
2017-03-01,1407.140015,1424.959961,1374.510010,1401.500000,1401.500000,0
2017-04-01,1402.040039,1424.640015,1379.770020,1414.839966,1414.839966,0
2017-05-01,1416.280029,1431.239990,1392.510010,1426.099976,1426.099976,0
2017-06-01,1427.160034,1453.079956,1425.920044,1436.819946,1436.819946,0
2017-07-01,1440.650024,1471.869995,1425.969971,1462.319946,1462.319946,0
2017-08-01,1463.969971,1473.020020,1426.619995,1461.810059,1461.810059,0
2017-09-01,1462.750000,1495.489990,1447.260010,1495.430054,1495.430054,0
2017-10-01,1495.800049,1530.430054,1495.800049,1526.500000,1526.500000,0
2017-11-01,1527.369995,1575.079956,1512.099976,1569.219971,1569.219971,0
2017-12-01,1568.150024,1594.329956,1543.160034,1582.770020,1582.770020,0
2018-01-01,1585.089966,1694.229980,1585.089966,1664.680054,1664.680054,0
2018-02-01,1664.199951,1671.630005,1496.939941,1600.150024,1600.150024,0
2018-03-01,1600.239990,1657.670044,1535.209961,1565.560059,1565.560059,0
2018-04-01,1562.260010,1611.739990,1515.050049,1569.910034,1569.910034,0
2018-05-01,1568.790039,1630.260010,1540.750000,1610.670044,1610.670044,0
2018-06-01,1613.949951,1662.520020,1603.310059,1618.989990,1618.989990,0
2018-07-01,1618.310059,1689.959961,1608.160034,1670.959961,1670.959961,0
2018-08-01,1673.540039,1733.699951,1660.849976,1726.089966,1726.089966,0
2018-09-01,1725.969971,1743.650024,1702.750000,1726.520020,1726.520020,0
2018-10-01,1729.530029,1738.459961,1534.599976,1597.709961,1597.709961,0
2018-11-01,1598.329956,1659.329956,1549.369995,1625.989990,1625.989990,0
